t	x0	y0	x1	y1	x2	y2	x3	y3	x4	y4	x5	y5	x6	y6	x7	y7	x8	y8	x9	y9	x10	y10	x11	y11	x12	y12	x13	y13	x14	y14	x15	y15
0.01	0.999979	-0.000428144	1.00002	0.999572	2	-0.00045389	2	0.999546	3	-0.000454277	3	0.999546	4	-0.00045418	4	0.999546	5	-0.000454167	5	0.999546	6	-0.000454167	6	0.999546	7	-0.000454167	7	0.999546	8	-0.000454167	8	0.999546
0.02	0.999853	-0.0016645	1.00015	0.998335	1.99998	-0.00185823	2.00002	0.998142	3	-0.00186353	3	0.998136	4	-0.0018623	4	0.998138	5	-0.0018621	5	0.998138	6	-0.00186208	6	0.998138	7	-0.00186208	7	0.998138	8	-0.00186208	8	0.998138
0.03	0.999498	-0.00350236	1.0005	0.996496	1.99989	-0.00423818	2.00011	0.995762	2.99999	-0.00427377	3.00001	0.995726	4	-0.0042664	4	0.995734	5	-0.00426478	5	0.995735	6	-0.00426463	6	0.995735	7	-0.00426462	7	0.995735	8	-0.00426462	8	0.995735
0.04	0.99885	-0.00560728	1.00114	0.994389	1.99964	-0.00752172	2.00036	0.992477	2.99996	-0.00767862	3.00004	0.992321	4	-0.0076509	4	0.992349	5	-0.00764237	5	0.992358	6	-0.00764138	6	0.992359	7	-0.00764135	7	0.992359	8	-0.00764135	8	0.992359
0.05	0.997972	-0.00771534	1.00201	0.992275	1.99913	-0.0115995	2.00086	0.988396	2.99986	-0.0121116	3.00014	0.987888	4	-0.0120402	4	0.98796	5	-0.0120075	5	0.987993	6	-0.0120027	6	0.987997	7	-0.0120024	7	0.987998	8	-0.0120025	8	0.987998
0.06	0.996989	-0.00966278	1.00299	0.990318	1.9983	-0.0162607	2.00167	0.983724	2.99964	-0.0175841	3.00035	0.982414	3.99999	-0.0174602	4.00001	0.982539	5.00001	-0.0173621	4.99999	0.982638	6	-0.0173439	6	0.982656	7	-0.0173427	7	0.982657	8	-0.0173429	8	0.982657
0.07	0.995987	-0.0114258	1.00398	0.98854	1.9972	-0.0212408	2.00275	0.978724	2.99923	-0.0240719	3.00075	0.975923	3.99996	-0.0239636	4.00003	0.976035	5.00003	-0.0237265	4.99997	0.976273	6.00001	-0.0236693	5.99999	0.976331	7	-0.0236644	7	0.976336	8	-0.0236652	8	0.976335
0.08	0.994965	-0.0130718	1.005	0.986872	1.9959	-0.026284	2.00401	0.973648	2.99858	-0.0314612	3.00137	0.968525	3.99988	-0.031607	4.0001	0.96839	5.00007	-0.0311341	4.99993	0.968865	6.00003	-0.0309829	5.99997	0.969017	7	-0.0309657	7	0.969034	8	-0.0309679	8	0.969032
0.09	0.993894	-0.0146974	1.00607	0.985214	1.99446	-0.0312345	2.00539	0.968657	2.99765	-0.0395434	3.00225	0.960423	3.99971	-0.0404265	4.00025	0.959566	5.00013	-0.0396425	4.99986	0.960354	6.00006	-0.0392979	5.99993	0.960701	7.00001	-0.0392464	6.99999	0.960753	8	-0.0392517	8	0.960748
0.1	0.992784	-0.0163641	1.00718	0.983505	1.99292	-0.0360724	2.00688	0.963773	2.99644	-0.0480542	3.00338	0.951877	3.99937	-0.0503941	4.00055	0.949592	5.00021	-0.0493266	4.99976	0.950667	6.00014	-0.0486413	5.99985	0.951356	7.00003	-0.0485063	6.99997	0.951493	8	-0.0485158	8	0.951484
0.11	0.991684	-0.0180708	1.00829	0.981746	1.99127	-0.0408784	2.00846	0.958914	2.99497	-0.0567586	3.00474	0.943121	3.99878	-0.0613917	4.00107	0.938581	5.00026	-0.0602629	4.99967	0.939724	6.00026	-0.0590625	5.99971	0.940931	7.00007	-0.0587498	6.99992	0.941248	8	-0.0587599	8	0.94124
0.12	0.990623	-0.0197711	1.00936	0.979984	1.98957	-0.0457464	2.0101	0.953981	2.99328	-0.065523	3.00629	0.934293	3.99789	-0.0732174	4.00185	0.926731	5.00022	-0.0724982	4.99965	0.92748	6.00043	-0.0706372	5.99951	0.92935	7.00014	-0.0699917	6.99984	0.930002	8	-0.0699826	7.99999	0.930017
0.13	0.989572	-0.0214178	1.01043	0.978265	1.98785	-0.0507121	2.01175	0.948929	2.99144	-0.0743312	3.00797	0.925412	3.99668	-0.0856312	4.0029	0.914278	5.00001	-0.0860151	4.99976	0.913953	6.00063	-0.0834632	5.99926	0.916515	7.00026	-0.0822666	6.99969	0.917721	8.00001	-0.0821825	7.99999	0.917816
0.14	0.988474	-0.0230018	1.01155	0.976599	1.98613	-0.0557415	2.01338	0.943789	2.98952	-0.083238	3.00971	0.916426	3.99519	-0.0984209	4.00418	0.901431	4.99955	-0.100708	5.00009	0.899244	6.00082	-0.0976396	5.99898	0.902325	7.00044	-0.0956382	6.99947	0.904338	8.00002	-0.0953583	7.99997	0.904639
0.15	0.987314	-0.0245537	1.01274	0.974955	1.98439	-0.0607743	2.01503	0.938625	2.98755	-0.0923004	3.01146	0.90727	3.9935	-0.111454	4.00562	0.888326	4.9988	-0.116391	5.00065	0.883537	6.00094	-0.113232	5.99875	0.886718	7.00069	-0.1102	6.99916	0.88976	8.00005	-0.10951	7.99993	0.890486
0.16	0.986138	-0.0261127	1.01396	0.973293	1.98256	-0.0657745	2.01678	0.933476	2.98552	-0.101533	3.01324	0.897918	3.99166	-0.124693	4.00715	0.875006	4.99775	-0.132833	5.00145	0.867057	6.0009	-0.130235	5.99862	0.869698	7.001	-0.126061	6.99876	0.873877	8.00011	-0.12464	7.99985	0.875352
