t	x0	y0	x1	y1	lam1	lam2
0.01	1	-0.000469378	2	-0.000469378	0.00874873	0.00437437
0.02	0.999998	-0.00191164	2	-0.00191165	0.110359	0.0551796
0.03	0.999991	-0.00434077	1.99999	-0.00434082	0.240334	0.120166
0.04	0.99997	-0.00774646	1.99997	-0.00774669	0.447616	0.223801
0.05	0.999926	-0.0121359	1.99993	-0.0121367	0.708336	0.354142
0.06	0.999847	-0.017503	1.99985	-0.0175054	1.0085	0.504171
0.07	0.999716	-0.0238509	1.99972	-0.0238568	1.41346	0.70653
0.08	0.999514	-0.0311751	1.99951	-0.031188	1.79077	0.894952
0.09	0.999221	-0.0394751	1.99922	-0.039501	2.35172	1.17495
0.1	0.998811	-0.0487461	1.99881	-0.0487944	2.79142	1.39406
0.11	0.998259	-0.0589843	1.99826	-0.0590693	3.51352	1.75372
0.12	0.997534	-0.0701823	1.99753	-0.0703248	4.00332	1.99677
0.13	0.996605	-0.0823324	1.9966	-0.0825615	4.88257	2.43309
0.14	0.995437	-0.0954232	1.99544	-0.095779	5.41198	2.69384
0.15	0.993993	-0.109442	1.99399	-0.109978	6.43441	3.19826
0.16	0.992236	-0.124372	1.99224	-0.125157	6.99293	3.47005
0.17	0.990124	-0.140193	1.99012	-0.141317	8.13509	4.0287
0.18	0.987617	-0.156883	1.98762	-0.158457	8.71049	4.30363
0.19	0.984672	-0.174415	1.98467	-0.176578	9.94112	4.8983
0.2	0.981246	-0.192757	1.98124	-0.195679	10.5185	5.16707
0.21	0.977297	-0.211875	1.97729	-0.215759	11.8012	5.7769
0.22	0.972781	-0.231728	1.97277	-0.236818	12.3638	6.02951
0.23	0.967656	-0.252274	1.96763	-0.258855	13.6604	6.63342
0.24	0.961882	-0.273464	1.96185	-0.281868	14.1911	6.86073
0.25	0.955421	-0.295246	1.95536	-0.305856	15.4662	7.44014
0.26	0.948236	-0.317566	1.94815	-0.330818	15.9503	7.63585
0.27	0.940294	-0.340364	1.94016	-0.35675	17.1745	8.17724
0.28	0.931564	-0.363576	1.93136	-0.383649	17.6024	8.33964
0.29	0.922021	-0.38714	1.92172	-0.411513	18.7548	8.83632
0.3	0.911642	-0.410986	1.91121	-0.440336	19.1233	8.96925
0.31	0.900408	-0.435046	1.89979	-0.470113	20.1928	9.42198
0.32	0.888307	-0.459249	1.88744	-0.500838	20.5046	9.5348
0.33	0.875331	-0.483523	1.87413	-0.532504	21.489	9.95121
0.34	0.861477	-0.507796	1.85983	-0.565102	21.7522	10.0579
0.35	0.846748	-0.531995	1.84453	-0.598623	22.6558	10.4511
0.36	0.831151	-0.556047	1.82818	-0.633055	22.8818	10.5688
0.37	0.814701	-0.579882	1.81078	-0.668386	23.7137	10.9557
0.38	0.797418	-0.603427	1.79229	-0.704601	23.9154	11.1035
0.39	0.779328	-0.626616	1.77269	-0.741684	24.6872	11.5034
0.4	0.760464	-0.64938	1.75195	-0.779615	24.878	11.7007
0.41	0.740865	-0.671654	1.73004	-0.818373	25.6031	12.1339
0.42	0.720576	-0.693376	1.70694	-0.857934	25.7968	12.4006
0.43	0.699648	-0.714487	1.68262	-0.89827	26.49	12.8879
0.44	0.67814	-0.734933	1.65702	-0.939351	26.7014	13.2432
0.45	0.656114	-0.754662	1.63013	-0.981139	27.3798	13.8058
0.46	0.633642	-0.773626	1.6019	-1.0236	27.626	14.2691
0.47	0.610799	-0.791785	1.57228	-1.06667	28.3108	14.9285
0.48	0.587667	-0.809103	1.54122	-1.11032	28.6139	15.5199
0.49	0.564331	-0.825548	1.50868	-1.15448	29.3326	16.299
0.5	0.540883	-0.841098	1.47461	-1.19908	29.722	17.0401
0.51	0.517416	-0.855734	1.43894	-1.24405	30.511	17.964
0.52	0.494029	-0.869445	1.40162	-1.2893	31.0264	18.8795
0.53	0.470821	-0.882229	1.36258	-1.33474	31.934	19.9773
0.54	0.447893	-0.894087	1.32176	-1.38025	32.6281	21.0962
0.55	0.425345	-0.905031	1.2791	-1.42571	33.7162	22.4014
0.56	0.403276	-0.915078	1.23452	-1.47098	34.6555	23.7576
0.57	0.381782	-0.924253	1.18797	-1.51591	35.9989	25.3079
0.58	0.360953	-0.932584	1.13939	-1.56031	37.26	26.9374
0.59	0.340872	-0.94011	1.0887	-1.604	38.9384	28.7682
0.6	0.321613	-0.946871	1.03587	-1.64676	40.5937	30.6981
0.61	0.303236	-0.952915	0.980845	-1.68834	42.668	32.825
0.62	0.285786	-0.958294	0.923603	-1.72848	44.7497	35.0462
0.63	0.269284	-0.963061	0.864131	-1.7669	47.2101	37.4256
0.64	0.253731	-0.967275	0.80244	-1.80329	49.6401	39.8404
0.65	0.239096	-0.970996	0.738572	-1.83732	52.3192	42.3047
0.66	0.225314	-0.974286	0.672601	-1.86868	54.814	44.6568
0.67	0.212283	-0.977208	0.604644	-1.89702	57.3024	46.8537
0.68	0.199866	-0.979823	0.53486	-1.92204	59.3305	48.7002
0.69	0.187886	-0.982191	0.463456	-1.94347	61.0175	50.1297
0.7	0.176135	-0.984366	0.39068	-1.96108	61.9609	50.9707
0.71	0.164383	-0.986397	0.316817	-1.97471	62.3266	51.2134
0.72	0.152387	-0.988321	0.242176	-1.98428	61.8647	50.7884
0.73	0.139909	-0.990164	0.167078	-1.9898	60.8615	49.7987
0.74	0.126721	-0.991938	0.0918408	-1.99133	59.2291	48.286
0.75	0.112622	-0.993638	0.0167649	-1.98903	57.3243	46.4269
0.76	0.0974413	-0.995241	-0.0578745	-1.98311	55.1229	44.3005
0.77	0.0810445	-0.99671	-0.131835	-1.97379	52.9478	42.0761
0.78	0.0633318	-0.997993	-0.204908	-1.96134	50.7495	39.8024
0.79	0.0442376	-0.999021	-0.276922	-1.94605	48.7669	37.6004
0.8	0.0237273	-0.999718	-0.347736	-1.92817	46.9051	35.4728
0.81	0.00179382	-0.999998	-0.417238	-1.90797	45.3283	33.4963
0.82	-0.021546	-0.999768	-0.485342	-1.88571	43.9147	31.6421
0.83	-0.0462545	-0.99893	-0.551983	-1.86162	42.7806	29.9608
0.84	-0.0722762	-0.997385	-0.617112	-1.83593	41.799	28.4091
0.85	-0.0995407	-0.995033	-0.680696	-1.80883	41.0595	27.0258
0.86	-0.127964	-0.991779	-0.742712	-1.7805	40.4426	25.7638
0.87	-0.157451	-0.987527	-0.803145	-1.75112	40.023	24.6576
