t	x0	y0	x1	y1	x2	y2
0.01	-0.0998357	0.997908	-0.814629	-0.586049	0.914465	-0.413143
0.02	-0.198504	0.987502	-0.757139	-0.668074	0.955645	-0.324413
0.03	-0.294097	0.96226	-0.688493	-0.740686	0.982611	-0.232024
0.04	-0.385733	0.922411	-0.609025	-0.802496	0.99486	-0.136502
0.05	-0.474834	0.874769	-0.523973	-0.857598	0.999131	-0.039576
0.06	-0.56243	0.824086	-0.437212	-0.909066	1.00039	0.0579463
0.07	-0.645522	0.767816	-0.348223	-0.953232	0.995089	0.155567
0.08	-0.718805	0.701031	-0.2552	-0.983329	0.975906	0.251832
0.09	-0.780807	0.623921	-0.158506	-0.998266	0.94142	0.345518
0.1	-0.835895	0.54179	-0.0600257	-1.00427	0.897612	0.437275
0.11	-0.888113	0.4586	0.0389795	-1.00656	0.849742	0.527812
0.12	-0.934681	0.373393	0.137635	-1.00223	0.796135	0.614455
0.13	-0.968626	0.283414	0.234262	-0.984234	0.731911	0.692059
0.14	-0.987683	0.188343	0.327477	-0.951047	0.656586	0.758539
0.15	-0.997232	0.0901353	0.418023	-0.908918	0.575051	0.81736
0.16	-1.00282	-0.0095392	0.507239	-0.863859	0.491584	0.872289
0.17	-1.00232	-0.109716	0.593329	-0.814587	0.405812	0.920947
0.18	-0.988618	-0.208884	0.671469	-0.755564	0.315331	0.956705
0.19	-0.959182	-0.305496	0.739072	-0.685123	0.220003	0.977241
0.2	-0.91937	-0.399653	0.799095	-0.607546	0.122009	0.988032
0.21	-0.875336	-0.492064	0.85571	-0.527337	0.0230963	0.995287
0.22	-0.826582	-0.580704	0.907546	-0.444352	-0.0760812	0.997562
0.23	-0.768063	-0.660703	0.948265	-0.35578	-0.174444	0.987591
0.24	-0.698107	-0.729343	0.97448	-0.260858	-0.270512	0.962007
0.25	-0.621029	-0.78963	0.990182	-0.161707	-0.364178	0.925762
0.26	-0.541689	-0.846332	1.00103	-0.0606611	-0.456336	0.885521
0.27	-0.460216	-0.898868	1.0061	0.0409826	-0.545739	0.84136
0.28	-0.373631	-0.94104	0.998682	0.141769	-0.628155	0.787783
0.29	-0.280829	-0.968844	0.975403	0.239913	-0.700582	0.721804
0.3	-0.183864	-0.985885	0.941041	0.334975	-0.765081	0.646787
0.31	-0.0851349	-0.998505	0.902534	0.427782	-0.825804	0.567732
0.32	0.0143532	-1.00694	0.86044	0.517442	-0.882246	0.485509
0.33	0.113781	-1.00472	0.809317	0.600085	-0.928348	0.397616
0.34	0.21173	-0.987235	0.745832	0.672658	-0.959724	0.303038
0.35	0.307517	-0.957757	0.673284	0.737104	-0.979458	0.203987
0.36	0.401589	-0.922774	0.597113	0.798085	-0.993958	0.103291
0.37	0.493113	-0.883436	0.518443	0.856143	-1.00402	0.00238071
0.38	0.578514	-0.834801	0.434218	0.905757	-1.00344	-0.0976852
0.39	0.654602	-0.773289	0.342465	0.941872	-0.98733	-0.195325
0.4	0.722658	-0.701713	0.244954	0.966387	-0.958848	-0.289795
0.41	0.786786	-0.625526	0.1448	0.985262	-0.925195	-0.381937
0.42	0.847503	-0.546355	0.0437899	0.999793	-0.888491	-0.471857
0.43	0.899414	-0.46163	-0.0571098	1.00415	-0.843869	-0.556833
0.44	0.937289	-0.369692	-0.156567	0.992911	-0.786711	-0.633703
0.45	0.962877	-0.272676	-0.253739	0.968249	-0.718723	-0.703109
0.46	0.98267	-0.174062	-0.349061	0.936981	-0.645184	-0.768843
0.47	0.999005	-0.0755704	-0.442304	0.901613	-0.568228	-0.831955
0.48	1.00656	0.022465	-0.530508	0.857707	-0.485519	-0.887697
0.49	0.999309	0.119378	-0.610107	0.800683	-0.395004	-0.930582
0.5	0.978506	0.214528	-0.681336	0.732323	-0.298361	-0.96123
0.51	0.950866	0.308345	-0.748139	0.658493	-0.19911	-0.98519
0.52	0.919591	0.400982	-0.812347	0.582082	-0.0993663	-1.00472
0.53	0.880568	0.490191	-0.869819	0.500956	0.00017593	-1.01482
0.54	0.828453	0.572682	-0.914777	0.412653	0.0985885	-1.00952
0.55	0.763853	0.648127	-0.947105	0.318461	0.194932	-0.989914
0.56	0.692161	0.719629	-0.972354	0.22189	0.289442	-0.962995
0.57	0.616678	0.788608	-0.993822	0.125025	0.382444	-0.932672
0.58	0.535822	0.85085	-1.0075	0.0280378	0.472039	-0.89524
0.59	0.447308	0.900261	-1.00713	-0.0689136	0.554944	-0.845073
0.6	0.35248	0.936173	-0.992489	-0.165257	0.630454	-0.782399
0.61	0.255111	0.964013	-0.969519	-0.261046	0.701601	-0.712907
0.62	0.157604	0.987636	-0.942098	-0.356334	0.770556	-0.640634
